metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run4
total_agents;68
evacuated_agents;54
evacuation_rate;0,7941
rset_100s;58,820
rset_95s;40,460
rset_90s;38,560
rset_50s;25,360
mean_speed_ms;0,3596
std_speed_ms;0,5420
max_speed_ms;1,8247
mean_exit_density_pm2;0,0834
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0316
specific_flow_mean_pms;0,0467
specific_flow_peak_pms;0,5993
throughput_ps;1,1561
throughput_Exit_Main_ps;0,9181
collisions_agent_agent;0
collisions_agent_wall;51
mean_headway_m;3,2737
min_headway_m;0,3739
std_headway_m;3,3494
