metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run7
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;182,320
rset_95s;162,660
rset_90s;152,340
rset_50s;88,520
mean_speed_ms;1,1550
std_speed_ms;0,4150
max_speed_ms;2,3179
mean_exit_density_pm2;0,1339
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0598
specific_flow_mean_pms;0,1472
specific_flow_peak_pms;0,4323
throughput_ps;3,3293
throughput_Exit_South_ps;1,7990
throughput_Exit_West_ps;1,5303
collisions_agent_agent;1684
collisions_agent_wall;54
mean_headway_m;0,6305
min_headway_m;0,3236
std_headway_m;0,2555
