metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_17
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;54,640
rset_95s;44,160
rset_90s;37,060
rset_50s;19,140
mean_speed_ms;0,3047
std_speed_ms;0,2445
max_speed_ms;1,7436
mean_exit_density_pm2;4,4420
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5819
specific_flow_mean_pms;1,7563
specific_flow_peak_pms;6,6001
throughput_ps;1,7021
throughput_ExitZone_ps;1,7021
collisions_agent_agent;19500
collisions_agent_wall;17792
mean_headway_m;0,3936
min_headway_m;0,2739
std_headway_m;0,0672
