metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run16
total_agents;68
evacuated_agents;55
evacuation_rate;0,8088
rset_100s;63,400
rset_95s;42,520
rset_90s;37,980
rset_50s;21,200
mean_speed_ms;0,3901
std_speed_ms;0,5642
max_speed_ms;1,9658
mean_exit_density_pm2;0,1792
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0296
specific_flow_mean_pms;0,0484
specific_flow_peak_pms;0,7030
throughput_ps;1,0726
throughput_Exit_Main_ps;0,8675
collisions_agent_agent;0
collisions_agent_wall;89
mean_headway_m;3,2297
min_headway_m;0,3882
std_headway_m;2,6170
