metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run1
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;36,720
rset_95s;32,480
rset_90s;29,300
rset_50s;18,840
mean_speed_ms;1,4710
std_speed_ms;0,3846
max_speed_ms;2,7441
mean_exit_density_pm2;0,1754
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0515
specific_flow_mean_pms;0,2883
specific_flow_peak_pms;0,8342
throughput_ps;1,8519
throughput_Exit_Main_ps;1,8519
collisions_agent_agent;113
collisions_agent_wall;171
mean_headway_m;0,9571
min_headway_m;0,3264
std_headway_m;0,5599
