metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run14
total_agents;68
evacuated_agents;52
evacuation_rate;0,7647
rset_100s;55,360
rset_95s;38,880
rset_90s;35,700
rset_50s;24,000
mean_speed_ms;0,3265
std_speed_ms;0,5353
max_speed_ms;2,1017
mean_exit_density_pm2;0,1931
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0339
specific_flow_mean_pms;0,0480
specific_flow_peak_pms;0,7021
throughput_ps;1,2283
throughput_Exit_Main_ps;0,9393
collisions_agent_agent;5
collisions_agent_wall;106
mean_headway_m;2,9605
min_headway_m;0,3312
std_headway_m;2,3565
