metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run15
total_agents;68
evacuated_agents;55
evacuation_rate;0,8088
rset_100s;51,320
rset_95s;41,380
rset_90s;36,480
rset_50s;22,900
mean_speed_ms;0,4003
std_speed_ms;0,5738
max_speed_ms;2,0853
mean_exit_density_pm2;0,1797
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0297
specific_flow_mean_pms;0,0473
specific_flow_peak_pms;0,5851
throughput_ps;1,3250
throughput_Exit_Main_ps;1,0717
collisions_agent_agent;0
collisions_agent_wall;65
mean_headway_m;3,3529
min_headway_m;0,4164
std_headway_m;3,5589
