metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_09
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;183,24
rset_95s;164,76
rset_90s;154,34
rset_50s;90,66
mean_speed_ms;1,1207
std_speed_ms;0,3091
max_speed_ms;2,2043
mean_exit_density_pm2;0,1739
peak_exit_density_pm2;0,3979
mean_global_density_pm2;0,0799
specific_flow_mean_pms;0,2126
specific_flow_peak_pms;0,5078
throughput_ps;3,3126
throughput_Exit_South_ps;1,7791
throughput_Exit_West_ps;1,5335
collisions_agent_agent;49
collisions_agent_wall;58
mean_headway_m;0,5672
min_headway_m;0,3525
std_headway_m;0,1524
