metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run19
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;50,420
rset_95s;32,660
rset_90s;29,000
rset_50s;19,300
mean_speed_ms;1,4037
std_speed_ms;0,4608
max_speed_ms;3,7585
mean_exit_density_pm2;0,1355
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0397
specific_flow_mean_pms;0,2111
specific_flow_peak_pms;0,8614
throughput_ps;1,3487
throughput_Exit_Main_ps;1,3487
collisions_agent_agent;215
collisions_agent_wall;190
mean_headway_m;1,0161
min_headway_m;0,3096
std_headway_m;0,9226
