time;density;specific_flow
26,740;0,1989;0,2027
26,840;0,2387;0,2420
26,940;0,1592;0,1447
27,060;0,1592;0,1447
27,160;0,1592;0,1463
27,260;0,1989;0,1989
27,360;0,1592;0,1329
27,480;0,1194;0,1329
27,580;0,1194;0,1329
27,680;0,1194;0,1329
27,800;0,0796;0,0936
27,900;0,1194;0,1344
28,000;0,0796;0,0818
28,100;0,0398;0,0409
28,220;0,0398;0,0409
28,320;0,0398;0,0409
28,420;0,0398;0,0409
28,540;0,0796;0,0869
28,640;0,1194;0,0869
28,740;0,1592;0,1362
28,840;0,1194;0,0953
28,960;0,1592;0,1338
29,060;0,1989;0,1338
29,160;0,2387;0,1921
29,280;0,2387;0,1921
29,380;0,2387;0,1921
29,480;0,2387;0,1921
29,580;0,1989;0,1461
29,700;0,1989;0,1394
29,800;0,1592;0,1394
29,900;0,1592;0,1394
30,020;0,0796;0,0426
30,120;0,0796;0,0426
30,220;0,0796;0,0426
30,320;0,0796;0,0426
30,440;0,0398;0,0426
30,540;0,0398;0,0426
30,640;0,0796;0,0818
30,760;0,0398;0,0392
30,860;0,0398;0,0392
30,960;0,0398;0,0392
31,060;0,1194;0,1158
31,180;0,1194;0,1158
31,280;0,1194;0,1158
31,380;0,1194;0,1158
31,500;0,1592;0,1398
31,600;0,1194;0,1006
31,700;0,1194;0,1006
31,820;0,1194;0,1006
31,920;0,1592;0,1440
32,020;0,1989;0,2105
32,140;0,1592;0,1826
32,240;0,1592;0,1587
32,360;0,1194;0,1099
32,480;0,1194;0,1099
32,600;0,1194;0,1099
32,700;0,1194;0,1099
32,820;0,1194;0,1099
32,940;0,0796;0,0777
33,040;0,0796;0,0777
33,160;0,0796;0,0777
33,280;0,1194;0,0777
33,380;0,1194;0,0777
33,500;0,1592;0,0777
33,620;0,1592;0,0777
33,720;0,2387;0,1548
33,840;0,2785;0,1548
33,960;0,2785;0,1807
34,080;0,2785;0,1355
34,180;0,2387;0,1355
34,300;0,2387;0,1355
34,420;0,2387;0,1355
34,520;0,1989;0,0899
34,640;0,1592;0,0583
34,760;0,1194;0,0583
34,860;0,1194;0,0583
34,980;0,0398;0,0000
35,100;0,0398;0,0365
35,200;0,0398;0,0365
35,320;0,0398;0,0365
35,440;0,0398;0,0365
35,560;0,0398;0,0365
35,660;0,1194;0,0931
35,780;0,1194;0,0931
35,900;0,1194;0,0794
36,000;0,1194;0,0794
36,120;0,1194;0,0794
36,240;0,1194;0,0794
36,340;0,1592;0,1561
36,460;0,2785;0,2302
36,580;0,2785;0,2302
36,680;0,2785;0,2302
36,800;0,3183;0,2929
36,920;0,2785;0,2580
37,040;0,2387;0,2125
37,140;0,2387;0,2125
37,260;0,1989;0,2125
37,380;0,1592;0,1813
37,480;0,1592;0,1919
37,600;0,1592;0,1919
37,720;0,1989;0,2504
37,820;0,1592;0,1925
37,940;0,1989;0,2600
38,060;0,2387;0,2954
38,180;0,2785;0,3516
38,280;0,3581;0,3516
38,400;0,3183;0,2844
38,520;0,2785;0,2259
38,620;0,3183;0,2708
38,740;0,2785;0,2033
38,860;0,2387;0,1679
38,960;0,2387;0,1679
39,080;0,1592;0,0943
39,200;0,0796;0,0450
39,300;0,1194;0,1040
39,420;0,1592;0,1040
39,540;0,1194;0,0591
39,660;0,0796;0,0591
39,760;0,1194;0,0903
39,880;0,1592;0,1565
40,000;0,1989;0,1565
40,100;0,1592;0,1565
40,220;0,1592;0,1565
40,340;0,2785;0,2710
40,440;0,2387;0,2119
40,560;0,2387;0,2119
40,680;0,2785;0,2748
40,780;0,1989;0,2087
40,900;0,2387;0,2087
41,020;0,1592;0,1213
41,140;0,1989;0,1906
41,240;0,1194;0,1322
41,360;0,1194;0,1322
41,480;0,2387;0,2609
41,580;0,2785;0,2609
41,700;0,1989;0,1981
41,820;0,1989;0,1981
41,920;0,1989;0,1981
42,040;0,1592;0,1288
42,160;0,1194;0,1288
42,260;0,1194;0,1288
42,380;0,0796;0,1182
42,500;0,0398;0,0645
42,620;0,0398;0,0645
42,720;0,0796;0,1334
42,840;0,0796;0,1334
42,960;0,0796;0,1334
43,060;0,0796;0,1334
43,180;0,0796;0,1334
43,300;0,0796;0,1151
43,400;0,0796;0,1151
43,520;0,1194;0,1650
43,640;0,0796;0,0961
43,760;0,0796;0,0961
43,860;0,1194;0,1616
43,980;0,1592;0,2194
44,100;0,1989;0,2743
44,200;0,1592;0,2280
44,320;0,1592;0,2280
44,440;0,1592;0,2280
44,540;0,1592;0,2280
44,660;0,1592;0,2280
44,780;0,1194;0,1625
44,880;0,0796;0,0577
45,000;0,1194;0,1240
45,120;0,1194;0,0663
45,240;0,1194;0,0663
45,340;0,1592;0,1143
45,460;0,1592;0,1143
45,580;0,1989;0,1724
45,680;0,1989;0,1724
45,800;0,1989;0,1978
45,920;0,1592;0,1316
46,020;0,1194;0,1316
46,140;0,1194;0,0835
46,260;0,1592;0,1551
46,360;0,1989;0,2227
46,480;0,1592;0,1645
46,600;0,1989;0,1963
46,720;0,1989;0,1963
46,820;0,1989;0,1963
46,940;0,1989;0,2404
47,060;0,1592;0,2404
47,160;0,1194;0,1688
47,280;0,1592;0,2034
47,400;0,1194;0,1359
47,500;0,1194;0,1359
47,620;0,0796;0,0663
47,740;0,0796;0,0663
47,840;0,0796;0,0663
47,960;0,1194;0,1157
48,080;0,0796;0,0840
48,200;0,0398;0,0494
48,300;0,0398;0,0494
48,420;0,0796;0,1056
48,540;0,0796;0,1056
48,640;0,0796;0,1056
48,760;0,0796;0,1056
48,880;0,1194;0,1503
48,980;0,1194;0,1503
49,100;0,1592;0,1731
49,220;0,1989;0,2248
49,340;0,1989;0,2208
49,440;0,1989;0,2208
49,560;0,2387;0,2800
49,680;0,2387;0,2353
49,780;0,2387;0,2353
49,900;0,1989;0,2045
50,020;0,1989;0,2045
50,120;0,1989;0,2045
50,240;0,1989;0,2045
50,360;0,1989;0,2148
50,460;0,1592;0,1644
50,580;0,1194;0,1052
50,700;0,1194;0,1052
50,820;0,0796;0,0625
50,920;0,0796;0,0625
51,040;0,0796;0,0625
51,160;0,1194;0,0993
51,260;0,1592;0,0993
51,380;0,1592;0,0993
51,500;0,1194;0,0367
51,600;0,1194;0,0367
51,720;0,0796;0,0367
51,840;0,1194;0,0874
51,940;0,1592;0,1463
52,060;0,1592;0,1463
52,180;0,1592;0,1463
52,300;0,1989;0,1791
52,400;0,1592;0,1424
52,520;0,1592;0,1424
52,640;0,1194;0,0835
52,740;0,1194;0,0835
52,860;0,1592;0,1412
52,980;0,1592;0,1412
53,080;0,1194;0,1245
53,200;0,1592;0,2295
53,320;0,1592;0,2295
53,420;0,1592;0,2295
53,540;0,1592;0,2295
53,660;0,1592;0,2295
53,780;0,1592;0,2295
53,880;0,1194;0,1399
54,000;0,0796;0,0822
54,120;0,0796;0,1224
54,220;0,0796;0,1224
54,340;0,0796;0,1224
54,460;0,0398;0,0742
54,560;0,0398;0,0742
54,680;0,0398;0,0742
54,800;0,1194;0,1724
54,900;0,0796;0,0982
55,020;0,0796;0,0982
55,140;0,1194;0,1478
55,260;0,1989;0,1478
55,360;0,1989;0,1478
55,480;0,1989;0,1478
55,600;0,1989;0,0978
55,700;0,1989;0,0978
55,820;0,1592;0,0978
55,940;0,2785;0,2111
56,040;0,2785;0,2111
56,160;0,3183;0,2377
56,280;0,2785;0,1880
56,400;0,2785;0,2455
56,500;0,2387;0,2963
56,620;0,2387;0,2816
56,740;0,2387;0,2816
56,840;0,2387;0,2349
56,960;0,2387;0,2349
57,080;0,1989;0,1775
57,180;0,2387;0,2182
57,300;0,2785;0,2182
57,420;0,2387;0,2182
57,520;0,1592;0,1283
57,640;0,1592;0,1448
57,760;0,1592;0,1080
57,880;0,1592;0,1080
57,980;0,1194;0,1080
58,100;0,1592;0,1719
58,220;0,1194;0,1312
58,320;0,1592;0,1902
58,440;0,1194;0,1229
58,560;0,1194;0,1229
58,660;0,0796;0,1229
58,780;0,1194;0,1931
58,900;0,1592;0,2405
59,000;0,1592;0,2405
59,120;0,1194;0,1766
59,240;0,1194;0,1766
59,360;0,1194;0,1766
59,460;0,1194;0,1766
59,580;0,0796;0,1176
59,700;0,0398;0,0474
59,800;0,0000;0,0000
59,920;0,0796;0,0000
