agentId;time;posX;posZ;speed;localDensity
21;4,6600;1,5631;6,1203;1,9145;0,0000
20;4,6600;4,8597;1,6485;1,5173;0,0000
19;4,6600;5,7345;1,2529;0,8044;0,0000
18;4,6600;0,5955;3,7543;1,4076;0,0000
17;4,6600;4,8540;-0,1162;1,4581;0,0000
16;4,6600;-1,0319;5,4097;1,3067;0,0000
15;4,6600;4,0008;0,1133;1,2383;0,0000
14;4,6600;-0,5687;3,0674;1,1764;0,0000
13;4,6600;4,0721;1,8524;1,2066;0,0000
12;4,6600;4,2970;1,0320;0,9973;0,0000
11;4,6600;-0,5716;4,3969;1,4643;0,0000
10;4,6600;3,3614;-0,1558;1,0586;0,0000
9;4,6600;0,3280;3,0480;1,3929;0,0000
8;4,6600;2,8431;0,6499;1,2846;0,0000
7;4,6600;3,4598;2,3646;1,2130;0,0000
6;4,6600;0,4042;5,3593;1,1738;0,0000
5;4,6600;3,5097;1,3911;0,8167;0,0000
4;4,6600;-0,4482;0,4612;1,9301;0,0000
3;4,6600;0,0271;0,6162;1,6667;0,0000
2;4,6600;1,5380;1,5439;0,9908;0,0000
1;4,6600;-0,7257;-0,4637;1,5672;0,0000
31;5,1800;5,5188;0,8262;0,2204;0,0000
29;5,1800;6,2435;-0,4289;0,5004;0,0000
28;5,1800;-0,3851;6,6910;0,4385;0,0000
27;5,1800;5,2124;2,0809;0,8085;0,0000
26;5,1800;-0,3829;5,5731;0,8000;0,0000
25;5,1800;6,1248;1,2497;0,7957;0,0000
24;5,1800;4,1983;0,7016;1,3915;0,0000
23;5,1800;0,8610;5,0571;1,4654;0,0000
22;5,1800;5,6182;0,1277;1,1198;0,0000
21;5,1800;1,3447;5,6689;0,9644;0,0000
20;5,1800;4,0396;1,6447;1,5772;0,0000
19;5,1800;5,2036;1,3140;1,0276;0,0000
18;5,1800;0,5844;3,0322;1,3887;0,0000
17;5,1800;4,1097;-0,0804;1,4329;0,0000
16;5,1800;-0,9825;4,7163;1,3367;0,0000
15;5,1800;3,3928;0,1914;1,1788;0,0000
14;5,1800;-0,5648;2,4601;1,1679;0,0000
13;5,1800;3,3923;1,8512;1,3074;0,0000
12;5,1800;3,7177;1,0316;1,1141;0,0000
11;5,1800;-0,5350;3,6303;1,4759;0,0000
10;5,1800;2,7574;-0,1542;1,1617;0,0000
9;5,1800;0,3035;2,3072;1,4254;0,0000
8;5,1800;2,1764;0,6729;1,2830;0,0000
7;5,1800;2,8808;2,3561;1,1135;0,0000
6;5,1800;0,3445;4,7465;1,1841;0,0000
5;5,1800;3,0312;1,2971;0,9378;0,0000
4;5,1800;-0,8495;-0,6480;2,2684;0,0000
3;5,1800;-0,5274;0,7466;1,0955;0,0000
2;5,1800;1,0236;1,5174;0,9905;0,0000
1;5,1800;-0,6468;-1,2903;1,5968;0,0000
34;5,7000;6,2247;-0,3334;0,0810;0,0000
31;5,7000;5,1429;0,7169;0,7529;0,0000
29;5,7000;5,5982;-0,3440;1,2517;0,0000
28;5,7000;-0,3731;6,2347;0,8780;0,0000
27;5,7000;4,5784;2,0981;1,2195;0,0000
26;5,7000;-0,3987;5,0189;1,0663;0,0000
25;5,7000;5,5264;1,3117;1,1569;0,0000
24;5,7000;3,5337;0,6354;1,2845;0,0000
23;5,7000;0,8690;4,4211;1,2232;0,0000
22;5,7000;4,9755;0,0747;1,2402;0,0000
21;5,7000;1,2648;5,0344;1,2297;0,0000
20;5,7000;3,3029;1,6643;1,4172;0,0000
19;5,7000;4,5327;1,4269;1,3083;0,0000
18;5,7000;0,5678;2,3060;1,3970;0,0000
17;5,7000;3,3834;-0,0525;1,3979;0,0000
16;5,7000;-0,9307;4,0184;1,3460;0,0000
15;5,7000;2,7561;0,2763;1,2353;0,0000
14;5,7000;-0,5652;1,8571;1,1595;0,0000
13;5,7000;2,6663;1,9101;1,4007;0,0000
12;5,7000;3,1011;1,0140;1,1863;0,0000
11;5,7000;-0,4992;2,8629;1,4773;0,0000
10;5,7000;2,1570;-0,1557;1,1545;0,0000
9;5,7000;0,1412;1,6932;1,2213;0,0000
8;5,7000;1,5115;0,6940;1,2791;0,0000
7;5,7000;2,2693;2,3751;1,1766;0,0000
6;5,7000;0,0738;4,1557;1,2498;0,0000
5;5,7000;2,5346;1,1904;0,9767;0,0000
4;5,7000;-0,9438;-1,6286;1,8945;0,0000
3;5,7000;-1,3048;0,8152;1,5007;0,0000
2;5,7000;0,6511;1,3760;0,7663;0,0000
1;5,7000;-0,5331;-2,1958;1,7551;0,0000
35;6,2000;0,0724;6,2733;0,3137;0,0398
34;6,2000;5,6328;-0,2744;1,1897;0,0398
31;6,2000;4,5184;0,7017;1,2493;0,0398
30;6,2000;0,8890;6,8471;1,3746;0,0398
29;6,2000;4,8035;-0,2889;1,5932;0,0398
28;6,2000;-0,4698;5,6403;1,2044;0,0398
