metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM
total_agents;606
rset_100s;146,64
rset_95s;132,93
rset_90s;122,49
rset_50s;66,7
mean_speed_ms;0,9121
std_speed_ms;0,4451
max_speed_ms;2,5185
mean_exit_density_pm2;0,3319
peak_exit_density_pm2;0,7958
mean_global_density_pm2;0,7172
specific_flow_mean_pms;0,2588
specific_flow_peak_pms;0,7465
throughput_ps;4,1326
throughput_Exit_South_ps;1,9094
throughput_Exit_West_ps;2,2231
collisions_agent_agent;11
collisions_agent_wall;281
mean_headway_m;0,6683
min_headway_m;0,3762
std_headway_m;0,2079
