metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run20
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;46,220
rset_95s;34,600
rset_90s;32,320
rset_50s;19,000
mean_speed_ms;1,3623
std_speed_ms;0,4158
max_speed_ms;3,8329
mean_exit_density_pm2;0,1593
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0438
specific_flow_mean_pms;0,2332
specific_flow_peak_pms;0,9257
throughput_ps;1,4712
throughput_Exit_Main_ps;1,4712
collisions_agent_agent;139
collisions_agent_wall;115
mean_headway_m;0,9395
min_headway_m;0,3459
std_headway_m;0,5684
