metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_02
total_agents;606
rset_100s;146,18
rset_95s;133,57
rset_90s;121,74
rset_50s;67,74
mean_speed_ms;0,9664
std_speed_ms;0,4583
max_speed_ms;2,2532
mean_exit_density_pm2;0,2879
peak_exit_density_pm2;0,8356
mean_global_density_pm2;0,6802
specific_flow_mean_pms;0,3095
specific_flow_peak_pms;0,8259
throughput_ps;4,1456
throughput_Exit_South_ps;2,1617
throughput_Exit_West_ps;1,9839
collisions_agent_agent;27
collisions_agent_wall;452
mean_headway_m;0,6417
min_headway_m;0,353
std_headway_m;0,2156
