metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run13
total_agents;68
evacuated_agents;66
evacuation_rate;0,9706
rset_100s;144,200
rset_95s;34,860
rset_90s;33,400
rset_50s;21,080
mean_speed_ms;1,1519
std_speed_ms;0,5624
max_speed_ms;2,6308
mean_exit_density_pm2;0,0347
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0149
specific_flow_mean_pms;0,0529
specific_flow_peak_pms;0,9480
throughput_ps;0,4716
throughput_Exit_Main_ps;0,4577
collisions_agent_agent;1855
collisions_agent_wall;2465
mean_headway_m;1,4224
min_headway_m;0,3331
std_headway_m;1,6334
