metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_007_RL
total_agents;606
rset_100s;158,420
rset_95s;141,860
rset_90s;131,960
rset_50s;73,300
mean_speed_ms;0,6655
std_speed_ms;0,5740
max_speed_ms;3,9105
mean_exit_density_pm2;0,3064
peak_exit_density_pm2;0,7958
mean_global_density_pm2;0,9555
specific_flow_mean_pms;0,4163
specific_flow_peak_pms;1,3772
throughput_ps;3,8253
throughput_Exit_West_ps;2,0010
throughput_Exit_South_ps;1,8243
collisions_agent_agent;89588
collisions_agent_wall;6757
mean_headway_m;0,4947
min_headway_m;0,2925
std_headway_m;0,2296
