metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run18
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;48,980
rset_95s;39,680
rset_90s;33,260
rset_50s;15,380
mean_speed_ms;0,3892
std_speed_ms;0,3032
max_speed_ms;1,9377
mean_exit_density_pm2;4,0732
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5237
specific_flow_mean_pms;2,0491
specific_flow_peak_pms;6,2540
throughput_ps;1,8987
throughput_ExitZone_ps;1,8987
collisions_agent_agent;2058
collisions_agent_wall;5654
mean_headway_m;0,4254
min_headway_m;0,3106
std_headway_m;0,0757
