metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run15
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;39,380
rset_95s;36,000
rset_90s;33,420
rset_50s;17,740
mean_speed_ms;0,3237
std_speed_ms;0,2804
max_speed_ms;1,8356
mean_exit_density_pm2;4,1227
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5385
specific_flow_mean_pms;1,9093
specific_flow_peak_pms;4,8920
throughput_ps;2,3616
throughput_ExitZone_ps;2,3616
collisions_agent_agent;13169
collisions_agent_wall;1042
mean_headway_m;0,3961
min_headway_m;0,3173
std_headway_m;0,0594
