metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run_4
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;47,000
rset_95s;37,620
rset_90s;33,540
rset_50s;16,720
mean_speed_ms;0,4015
std_speed_ms;0,3102
max_speed_ms;2,0392
mean_exit_density_pm2;4,0137
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5308
specific_flow_mean_pms;2,0911
specific_flow_peak_pms;7,7485
throughput_ps;1,9787
throughput_ExitZone_ps;1,9787
collisions_agent_agent;2814
collisions_agent_wall;5456
mean_headway_m;0,4181
min_headway_m;0,2896
std_headway_m;0,0882
