metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_19
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;188,14
rset_95s;167,08
rset_90s;155,6
rset_50s;92,1
mean_speed_ms;1,1078
std_speed_ms;0,3153
max_speed_ms;2,1559
mean_exit_density_pm2;0,1846
peak_exit_density_pm2;0,6366
mean_global_density_pm2;0,0794
specific_flow_mean_pms;0,2149
specific_flow_peak_pms;0,6755
throughput_ps;3,2263
throughput_Exit_West_ps;1,5148
throughput_Exit_South_ps;1,7115
collisions_agent_agent;213
collisions_agent_wall;122
mean_headway_m;0,5719
min_headway_m;0,3392
std_headway_m;0,1549
