metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_26
total_agents;606
rset_100s;149,09
rset_95s;134,46
rset_90s;122,06
rset_50s;66,38
mean_speed_ms;0,8836
std_speed_ms;0,3978
max_speed_ms;2,3256
mean_exit_density_pm2;0,2975
peak_exit_density_pm2;0,6764
mean_global_density_pm2;0,6976
specific_flow_mean_pms;0,2328
specific_flow_peak_pms;0,6244
throughput_ps;4,0647
throughput_Exit_West_ps;2,0994
throughput_Exit_South_ps;1,9653
collisions_agent_agent;8
collisions_agent_wall;266
mean_headway_m;0,789
min_headway_m;0,3939
std_headway_m;0,1782
