metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_11
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;59,300
rset_95s;48,540
rset_90s;40,040
rset_50s;17,880
mean_speed_ms;0,3510
std_speed_ms;0,2959
max_speed_ms;2,1938
mean_exit_density_pm2;3,8366
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4951
specific_flow_mean_pms;1,7299
specific_flow_peak_pms;7,4362
throughput_ps;1,5683
throughput_ExitZone_ps;1,5683
collisions_agent_agent;1589
collisions_agent_wall;6852
mean_headway_m;0,4434
min_headway_m;0,3147
std_headway_m;0,0863
