metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run12
total_agents;68
evacuated_agents;55
evacuation_rate;0,8088
rset_100s;57,060
rset_95s;41,300
rset_90s;39,120
rset_50s;27,480
mean_speed_ms;0,3844
std_speed_ms;0,5699
max_speed_ms;2,4647
mean_exit_density_pm2;0,0914
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0303
specific_flow_mean_pms;0,0486
specific_flow_peak_pms;0,6501
throughput_ps;1,1917
throughput_Exit_Main_ps;0,9639
collisions_agent_agent;11
collisions_agent_wall;182
mean_headway_m;3,2469
min_headway_m;0,3841
std_headway_m;4,3976
