metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_03
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;183,96
rset_95s;165,08
rset_90s;154,82
rset_50s;89,8
mean_speed_ms;1,1103
std_speed_ms;0,3198
max_speed_ms;2,0801
mean_exit_density_pm2;0,1731
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0809
specific_flow_mean_pms;0,2141
specific_flow_peak_pms;0,5375
throughput_ps;3,2996
throughput_Exit_West_ps;1,5166
throughput_Exit_South_ps;1,783
collisions_agent_agent;34
collisions_agent_wall;27
mean_headway_m;0,5682
min_headway_m;0,3401
std_headway_m;0,1307
