metric;value
model_type;Ghost
scenario_id;Crossing90
run_id;D_007
total_agents;607
rset_100s;133,69
rset_95s;123,42
rset_90s;116,29
rset_50s;67,24
mean_speed_ms;0,5311
std_speed_ms;0,3493
max_speed_ms;3,9265
mean_exit_density_pm2;0,2537
peak_exit_density_pm2;0,5173
mean_global_density_pm2;1,3891
specific_flow_mean_pms;0,2568
specific_flow_peak_pms;0,6311
throughput_ps;4,5404
throughput_Exit_West_ps;2,0794
throughput_Exit_South_ps;2,446
collisions_agent_agent;0
collisions_agent_wall;0
mean_headway_m;0,4963
min_headway_m;0,1363
std_headway_m;0,1723
