metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_28
total_agents;93
rset_100s;42,980
rset_95s;38,370
rset_90s;34,640
rset_50s;18,830
mean_speed_ms;0,3224
std_speed_ms;0,2963
max_speed_ms;2,0985
mean_exit_density_pm2;5,2780
peak_exit_density_pm2;8,9127
mean_global_density_pm2;2,4420
specific_flow_mean_pms;2,5316
specific_flow_peak_pms;7,1585
throughput_ps;2,1638
throughput_ExitZone_ps;2,1638
collisions_agent_agent;25362
collisions_agent_wall;22244
mean_headway_m;0,3839
min_headway_m;0,3118
std_headway_m;0,0387
