metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_03
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;56,960
rset_95s;45,360
rset_90s;36,600
rset_50s;15,220
mean_speed_ms;0,3847
std_speed_ms;0,3186
max_speed_ms;2,0769
mean_exit_density_pm2;3,6967
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4550
specific_flow_mean_pms;1,7647
specific_flow_peak_pms;6,2115
throughput_ps;1,6327
throughput_ExitZone_ps;1,6327
collisions_agent_agent;957
collisions_agent_wall;4370
mean_headway_m;0,4503
min_headway_m;0,3149
std_headway_m;0,0929
