metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_16
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;48,180
rset_95s;41,320
rset_90s;38,620
rset_50s;21,180
mean_speed_ms;0,5948
std_speed_ms;0,3770
max_speed_ms;2,0870
mean_exit_density_pm2;4,7554
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,6186
specific_flow_mean_pms;2,9385
specific_flow_peak_pms;9,1414
throughput_ps;1,9303
throughput_ExitZone_ps;1,9303
collisions_agent_agent;13574
collisions_agent_wall;6262
mean_headway_m;0,3869
min_headway_m;0,2752
std_headway_m;0,0620
