agentId;time;posX;posZ;speed;localDensity
4;0,3600;-0,6002;0,3288;0,2150;2,5465
3;0,3600;-2,4871;-0,5794;0,6716;2,5465
93;0,4800;-1,3707;0,0768;0,8609;3,8197
92;0,4800;2,1978;0,0960;0,8087;3,8197
90;0,4800;-0,1242;-0,9622;1,3959;3,8197
89;0,4800;1,8291;1,2307;1,0306;3,8197
83;0,4800;-1,7657;-0,4217;1,1875;3,8197
78;0,4800;2,2655;-0,6295;0,9111;3,8197
77;0,4800;0,0233;0,5679;0,9494;3,8197
76;0,4800;-2,7954;1,3877;0,6047;3,8197
75;0,4800;2,3607;1,0927;0,5866;3,8197
73;0,4800;-2,3429;1,1889;1,1193;3,8197
72;0,4800;-0,3381;1,4601;0,9471;3,8197
71;0,4800;-0,9856;-0,3108;0,9284;3,8197
68;0,4800;-1,6885;0,5957;0,4264;3,8197
60;0,4800;0,6814;0,7746;0,5712;3,8197
58;0,4800;-0,1482;-0,2520;0,8529;3,8197
53;0,4800;-2,0426;0,1587;1,0233;3,8197
52;0,4800;1,3779;0,8998;0,5853;3,8197
50;0,4800;1,0139;0,3408;0,8154;3,8197
48;0,4800;1,1771;-0,5559;1,1271;3,8197
41;0,4800;-1,8193;1,2933;0,9698;3,8197
40;0,4800;-2,5053;-0,1864;0,9782;3,8197
38;0,4800;0,3945;-0,6489;0,9396;3,8197
36;0,4800;1,8316;-0,3349;0,9610;3,8197
35;0,4800;0,0176;1,0585;0,8771;3,8197
34;0,4800;-0,9364;0,5366;0,9694;3,8197
31;0,4800;-0,5022;0,7875;0,4687;3,8197
30;0,4800;-0,6627;-0,7491;1,0901;3,8197
24;0,4800;0,3365;0,1403;0,8095;3,8197
23;0,4800;0,7974;1,4288;0,9365;3,8197
21;0,4800;-2,6569;0,5461;0,4628;3,8197
20;0,4800;2,0413;0,5643;1,0690;3,8197
17;0,4800;1,4504;1,4976;1,0271;3,8197
16;0,4800;0,7495;-0,2037;0,6752;3,8197
12;0,4800;1,4360;0,0574;0,5198;3,8197
5;0,4800;-1,3147;1,0533;0,7659;3,8197
4;0,4800;-0,5952;0,2646;0,5370;3,8197
3;0,4800;-2,4492;-0,6842;0,9283;3,8197
93;0,6000;-1,3710;-0,0351;0,9323;2,5465
92;0,6000;2,1496;-0,0149;1,0077;2,5465
89;0,6000;1,8007;1,0817;1,2647;2,5465
83;0,6000;-1,7128;-0,5644;1,2683;2,5465
78;0,6000;2,2341;-0,7423;0,9750;2,5465
77;0,6000;-0,0053;0,4232;1,2296;2,5465
76;0,6000;-2,7147;1,2791;1,1268;2,5465
75;0,6000;2,3243;1,0055;0,7875;2,5465
73;0,6000;-2,2861;1,0411;1,3194;2,5465
72;0,6000;-0,3331;1,3453;0,9580;2,5465
71;0,6000;-0,9553;-0,4237;0,9743;2,5465
68;0,6000;-1,6589;0,5325;0,5818;2,5465
60;0,6000;0,6688;0,6888;0,7231;2,5465
58;0,6000;-0,1329;-0,3744;1,0279;2,5465
53;0,6000;-2,0335;0,0208;1,1515;2,5465
52;0,6000;1,3276;0,8271;0,7365;2,5465
51;0,6000;2,0284;1,6426;0,5623;2,5465
50;0,6000;0,9716;0,2351;0,9490;2,5465
48;0,6000;1,1989;-0,6887;1,1222;2,5465
41;0,6000;-1,8066;1,1655;1,0705;2,5465
40;0,6000;-2,4891;-0,2965;0,9268;2,5465
38;0,6000;0,3920;-0,7636;0,9556;2,5465
36;0,6000;1,7787;-0,4600;1,1317;2,5465
35;0,6000;0,0561;0,9493;0,9654;2,5465
34;0,6000;-0,9392;0,4271;0,9126;2,5465
31;0,6000;-0,4880;0,7353;0,4508;2,5465
30;0,6000;-0,6483;-0,8655;0,9773;2,5465
28;0,6000;-2,3491;1,6819;0,6196;2,5465
24;0,6000;0,3150;0,0294;0,9411;2,5465
23;0,6000;0,7632;1,3055;1,0668;2,5465
21;0,6000;-2,6210;0,4745;0,6677;2,5465
