metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run13
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;48,100
rset_95s;39,240
rset_90s;33,760
rset_50s;15,640
mean_speed_ms;0,4064
std_speed_ms;0,3133
max_speed_ms;1,8577
mean_exit_density_pm2;3,9978
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5402
specific_flow_mean_pms;2,1384
specific_flow_peak_pms;6,5768
throughput_ps;1,9335
throughput_ExitZone_ps;1,9335
collisions_agent_agent;2504
collisions_agent_wall;5661
mean_headway_m;0,4252
min_headway_m;0,3049
std_headway_m;0,0815
