metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run14
total_agents;68
evacuated_agents;67
evacuation_rate;0,9853
rset_100s;44,980
rset_95s;33,280
rset_90s;29,660
rset_50s;17,800
mean_speed_ms;1,2958
std_speed_ms;0,5200
max_speed_ms;3,1805
mean_exit_density_pm2;0,0343
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0112
specific_flow_mean_pms;0,0530
specific_flow_peak_pms;1,0278
throughput_ps;1,5118
throughput_Exit_Main_ps;1,4896
collisions_agent_agent;101
collisions_agent_wall;173
mean_headway_m;1,6918
min_headway_m;0,3379
std_headway_m;3,9235
