metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run7
total_agents;68
evacuated_agents;58
evacuation_rate;0,8529
rset_100s;46,880
rset_95s;41,900
rset_90s;39,040
rset_50s;23,620
mean_speed_ms;0,4552
std_speed_ms;0,5662
max_speed_ms;2,0986
mean_exit_density_pm2;0,1979
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0262
specific_flow_mean_pms;0,0531
specific_flow_peak_pms;0,5992
throughput_ps;1,4505
throughput_Exit_Main_ps;1,2372
collisions_agent_agent;6
collisions_agent_wall;91
mean_headway_m;3,3149
min_headway_m;0,4054
std_headway_m;3,3870
