metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run17
total_agents;68
evacuated_agents;59
evacuation_rate;0,8676
rset_100s;57,240
rset_95s;40,660
rset_90s;38,140
rset_50s;22,720
mean_speed_ms;0,5071
std_speed_ms;0,5975
max_speed_ms;1,8542
mean_exit_density_pm2;0,2023
peak_exit_density_pm2;1,1318
mean_global_density_pm2;0,0246
specific_flow_mean_pms;0,0558
specific_flow_peak_pms;0,8235
throughput_ps;1,1880
throughput_Exit_Main_ps;1,0307
collisions_agent_agent;0
collisions_agent_wall;92
mean_headway_m;3,1428
min_headway_m;0,3488
std_headway_m;4,3717
