metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run15
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;51,880
rset_95s;42,160
rset_90s;35,280
rset_50s;18,080
mean_speed_ms;0,3800
std_speed_ms;0,2987
max_speed_ms;1,9359
mean_exit_density_pm2;4,0672
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5335
specific_flow_mean_pms;1,9906
specific_flow_peak_pms;6,4760
throughput_ps;1,7926
throughput_ExitZone_ps;1,7926
collisions_agent_agent;3080
collisions_agent_wall;6692
mean_headway_m;0,4200
min_headway_m;0,3138
std_headway_m;0,0789
