metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_15
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;58,960
rset_95s;44,740
rset_90s;36,060
rset_50s;16,560
mean_speed_ms;0,3622
std_speed_ms;0,3092
max_speed_ms;2,1258
mean_exit_density_pm2;3,6063
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,4538
specific_flow_mean_pms;1,6902
specific_flow_peak_pms;6,7965
throughput_ps;1,5773
throughput_ExitZone_ps;1,5773
collisions_agent_agent;1713
collisions_agent_wall;6127
mean_headway_m;0,4536
min_headway_m;0,3174
std_headway_m;0,0935
