metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_20
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;197,04
rset_95s;168,22
rset_90s;160,48
rset_50s;92,7
mean_speed_ms;1,0439
std_speed_ms;0,3156
max_speed_ms;2,1478
mean_exit_density_pm2;0,2256
peak_exit_density_pm2;0,6366
mean_global_density_pm2;0,0792
specific_flow_mean_pms;0,2212
specific_flow_peak_pms;0,725
throughput_ps;3,0806
throughput_Exit_West_ps;1,4769
throughput_Exit_South_ps;1,6037
collisions_agent_agent;71
collisions_agent_wall;135
mean_headway_m;0,6086
min_headway_m;0,3701
std_headway_m;0,1342
