metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_02
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;183,26
rset_95s;166,12
rset_90s;156,78
rset_50s;91,08
mean_speed_ms;1,1178
std_speed_ms;0,3135
max_speed_ms;2,1223
mean_exit_density_pm2;0,1833
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0787
specific_flow_mean_pms;0,2163
specific_flow_peak_pms;0,602
throughput_ps;3,3122
throughput_Exit_West_ps;1,5224
throughput_Exit_South_ps;1,7898
collisions_agent_agent;13
collisions_agent_wall;21
mean_headway_m;0,5825
min_headway_m;0,3649
std_headway_m;0,1218
