metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run7
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;183,720
rset_95s;163,900
rset_90s;153,820
rset_50s;90,400
mean_speed_ms;1,1404
std_speed_ms;0,3019
max_speed_ms;2,1155
mean_exit_density_pm2;0,1740
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0789
specific_flow_mean_pms;0,2164
specific_flow_peak_pms;0,5298
throughput_ps;3,3039
throughput_Exit_West_ps;1,5132
throughput_Exit_South_ps;1,7908
collisions_agent_agent;37
collisions_agent_wall;20
mean_headway_m;0,5753
min_headway_m;0,3337
std_headway_m;0,1765
