time;grid_x;grid_z;density
2,020;-19;5;1,0000
2,020;-19;2;1,0000
2,020;-18;1;1,0000
2,020;-17;7;1,0000
2,020;-17;4;1,0000
2,020;-11;5;2,0000
2,020;-13;1;1,0000
2,020;-12;2;1,0000
2,020;-12;0;1,0000
2,020;-12;4;1,0000
2,020;-5;5;1,0000
2,020;-5;6;1,0000
2,020;-6;5;1,0000
2,020;-5;2;1,0000
2,020;-7;1;1,0000
2,020;-6;1;1,0000
2,020;0;1;1,0000
2,020;2;4;1,0000
2,020;-1;6;1,0000
2,020;-1;2;1,0000
2,020;1;7;1,0000
2,020;-1;3;1,0000
2,020;7;1;1,0000
2,020;8;1;2,0000
2,020;8;4;1,0000
2,020;9;1;1,0000
2,020;7;4;1,0000
2,020;15;1;1,0000
2,020;13;4;1,0000
2,020;14;1;1,0000
2,020;13;6;1,0000
2,020;15;2;1,0000
2,020;18;6;1,0000
2,020;19;7;1,0000
2,020;-16;-3;1,0000
2,020;-19;-8;1,0000
