metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run5
total_agents;68
evacuated_agents;58
evacuation_rate;0,8529
rset_100s;93,040
rset_95s;40,560
rset_90s;36,820
rset_50s;24,560
mean_speed_ms;0,4617
std_speed_ms;0,5901
max_speed_ms;2,2993
mean_exit_density_pm2;0,1135
peak_exit_density_pm2;1,1318
mean_global_density_pm2;0,0262
specific_flow_mean_pms;0,0515
specific_flow_peak_pms;0,7716
throughput_ps;0,7309
throughput_Exit_Main_ps;0,6234
collisions_agent_agent;0
collisions_agent_wall;23
mean_headway_m;2,9736
min_headway_m;0,3619
std_headway_m;4,0377
