metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run3
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;35,860
rset_95s;29,960
rset_90s;28,960
rset_50s;18,800
mean_speed_ms;1,4473
std_speed_ms;0,3938
max_speed_ms;2,5029
mean_exit_density_pm2;0,1832
peak_exit_density_pm2;0,7074
mean_global_density_pm2;0,0525
specific_flow_mean_pms;0,2913
specific_flow_peak_pms;1,0516
throughput_ps;1,8963
throughput_Exit_Main_ps;1,8963
collisions_agent_agent;190
collisions_agent_wall;239
mean_headway_m;0,9319
min_headway_m;0,3307
std_headway_m;0,5465
