metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run12
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;38,180
rset_95s;35,720
rset_90s;33,040
rset_50s;18,340
mean_speed_ms;0,3229
std_speed_ms;0,2854
max_speed_ms;1,8194
mean_exit_density_pm2;4,0468
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5460
specific_flow_mean_pms;1,9562
specific_flow_peak_pms;4,9493
throughput_ps;2,4358
throughput_ExitZone_ps;2,4358
collisions_agent_agent;10763
collisions_agent_wall;1131
mean_headway_m;0,3950
min_headway_m;0,3096
std_headway_m;0,0573
