metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_01
total_agents;606
rset_100s;145,69
rset_95s;134,31
rset_90s;121,96
rset_50s;65,96
mean_speed_ms;0,9314
std_speed_ms;0,4646
max_speed_ms;2,3288
mean_exit_density_pm2;0,3106
peak_exit_density_pm2;0,7958
mean_global_density_pm2;0,7073
specific_flow_mean_pms;0,2927
specific_flow_peak_pms;0,8424
throughput_ps;4,1595
throughput_Exit_South_ps;2,0729
throughput_Exit_West_ps;2,0866
collisions_agent_agent;6
collisions_agent_wall;245
mean_headway_m;0,6502
min_headway_m;0,3525
std_headway_m;0,2197
