metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run_5
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;51,240
rset_95s;39,920
rset_90s;33,540
rset_50s;15,080
mean_speed_ms;0,3976
std_speed_ms;0,3095
max_speed_ms;1,9876
mean_exit_density_pm2;3,9395
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5027
specific_flow_mean_pms;1,9882
specific_flow_peak_pms;6,8192
throughput_ps;1,8150
throughput_ExitZone_ps;1,8150
collisions_agent_agent;2132
collisions_agent_wall;4575
mean_headway_m;0,4282
min_headway_m;0,2986
std_headway_m;0,0890
