metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run10
total_agents;68
evacuated_agents;55
evacuation_rate;0,8088
rset_100s;56,920
rset_95s;46,000
rset_90s;42,380
rset_50s;24,000
mean_speed_ms;0,3880
std_speed_ms;0,5612
max_speed_ms;2,2432
mean_exit_density_pm2;0,1778
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0300
specific_flow_mean_pms;0,0467
specific_flow_peak_pms;0,7748
throughput_ps;1,1947
throughput_Exit_Main_ps;0,9663
collisions_agent_agent;5
collisions_agent_wall;91
mean_headway_m;3,3576
min_headway_m;0,3747
std_headway_m;3,1008
