metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_07
total_agents;606
rset_100s;156,05
rset_95s;134,07
rset_90s;122,77
rset_50s;64,9
mean_speed_ms;1,056
std_speed_ms;0,4271
max_speed_ms;2,2023
mean_exit_density_pm2;0,2138
peak_exit_density_pm2;0,5968
mean_global_density_pm2;0,5641
specific_flow_mean_pms;0,2717
specific_flow_peak_pms;0,8525
throughput_ps;3,8834
throughput_Exit_West_ps;1,8071
throughput_Exit_South_ps;2,0763
collisions_agent_agent;1104
collisions_agent_wall;2359
mean_headway_m;0,6455
min_headway_m;0,3329
std_headway_m;0,2362
