metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run18
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;181,600
rset_95s;166,400
rset_90s;154,880
rset_50s;90,820
mean_speed_ms;1,1131
std_speed_ms;0,3075
max_speed_ms;2,0670
mean_exit_density_pm2;0,1790
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0808
specific_flow_mean_pms;0,2115
specific_flow_peak_pms;0,5862
throughput_ps;3,3425
throughput_Exit_West_ps;1,5363
throughput_Exit_South_ps;1,8062
collisions_agent_agent;39
collisions_agent_wall;29
mean_headway_m;0,5630
min_headway_m;0,3461
std_headway_m;0,1277
