metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_007_SFM_cal_19
total_agents;606
rset_100s;149,87
rset_95s;134,68
rset_90s;122,78
rset_50s;69,31
mean_speed_ms;0,8857
std_speed_ms;0,462
max_speed_ms;2,2803
mean_exit_density_pm2;0,3168
peak_exit_density_pm2;0,9549
mean_global_density_pm2;0,738
specific_flow_mean_pms;0,2887
specific_flow_peak_pms;0,9455
throughput_ps;4,0435
throughput_Exit_West_ps;1,9083
throughput_Exit_South_ps;2,1352
collisions_agent_agent;1177
collisions_agent_wall;2371
mean_headway_m;0,6125
min_headway_m;0,323
std_headway_m;0,2212
