metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_15
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;180,74
rset_95s;165,5
rset_90s;156,48
rset_50s;91,02
mean_speed_ms;1,0983
std_speed_ms;0,3075
max_speed_ms;2,0061
mean_exit_density_pm2;0,1833
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0737
specific_flow_mean_pms;0,2064
specific_flow_peak_pms;0,5435
throughput_ps;3,3584
throughput_Exit_West_ps;1,5437
throughput_Exit_South_ps;1,8148
collisions_agent_agent;43
collisions_agent_wall;159
mean_headway_m;0,6339
min_headway_m;0,3607
std_headway_m;0,1412
