metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run5
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;183,980
rset_95s;163,680
rset_90s;154,000
rset_50s;91,100
mean_speed_ms;1,1278
std_speed_ms;0,3037
max_speed_ms;2,0304
mean_exit_density_pm2;0,1748
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0788
specific_flow_mean_pms;0,2137
specific_flow_peak_pms;0,6319
throughput_ps;3,2993
throughput_Exit_West_ps;1,5219
throughput_Exit_South_ps;1,7774
collisions_agent_agent;20
collisions_agent_wall;22
mean_headway_m;0,5727
min_headway_m;0,3549
std_headway_m;0,1441
