metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run13
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;182,180
rset_95s;164,560
rset_90s;155,040
rset_50s;91,680
mean_speed_ms;1,1340
std_speed_ms;0,3148
max_speed_ms;2,1564
mean_exit_density_pm2;0,1802
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0789
specific_flow_mean_pms;0,2170
specific_flow_peak_pms;0,5342
throughput_ps;3,3319
throughput_Exit_West_ps;1,5315
throughput_Exit_South_ps;1,8004
collisions_agent_agent;35
collisions_agent_wall;37
mean_headway_m;0,5692
min_headway_m;0,3229
std_headway_m;0,1239
