metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_25
total_agents;93
rset_100s;53,660
rset_95s;45,870
rset_90s;42,970
rset_50s;25,370
mean_speed_ms;0,1875
std_speed_ms;0,2516
max_speed_ms;1,9280
mean_exit_density_pm2;4,9395
peak_exit_density_pm2;8,9127
mean_global_density_pm2;2,4098
specific_flow_mean_pms;1,7458
specific_flow_peak_pms;5,4834
throughput_ps;1,7331
throughput_ExitZone_ps;1,7331
collisions_agent_agent;55372
collisions_agent_wall;44289
mean_headway_m;0,3999
min_headway_m;0,3063
std_headway_m;0,0571
