metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_01
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;184,72
rset_95s;166,24
rset_90s;156,96
rset_50s;91,24
mean_speed_ms;1,1364
std_speed_ms;0,3045
max_speed_ms;2,2528
mean_exit_density_pm2;0,1743
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0771
specific_flow_mean_pms;0,2127
specific_flow_peak_pms;0,5493
throughput_ps;3,2861
throughput_Exit_West_ps;1,505
throughput_Exit_South_ps;1,7811
collisions_agent_agent;22
collisions_agent_wall;8
mean_headway_m;0,6085
min_headway_m;0,3815
std_headway_m;0,1984
