metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run11
total_agents;68
evacuated_agents;60
evacuation_rate;0,8824
rset_100s;93,420
rset_95s;41,840
rset_90s;39,480
rset_50s;22,720
mean_speed_ms;0,5278
std_speed_ms;0,6101
max_speed_ms;2,1203
mean_exit_density_pm2;0,1310
peak_exit_density_pm2;0,8488
mean_global_density_pm2;0,0234
specific_flow_mean_pms;0,0542
specific_flow_peak_pms;0,6961
throughput_ps;0,7279
throughput_Exit_Main_ps;0,6423
collisions_agent_agent;0
collisions_agent_wall;79
mean_headway_m;3,9765
min_headway_m;0,3881
std_headway_m;4,6082
