metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_22
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;42,960
rset_95s;35,140
rset_90s;32,240
rset_50s;16,060
mean_speed_ms;0,4656
std_speed_ms;0,3340
max_speed_ms;1,9880
mean_exit_density_pm2;4,2740
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5740
specific_flow_mean_pms;2,5108
specific_flow_peak_pms;8,5969
throughput_ps;2,1648
throughput_ExitZone_ps;2,1648
collisions_agent_agent;1840
collisions_agent_wall;2671
mean_headway_m;0,4119
min_headway_m;0,3079
std_headway_m;0,0689
