metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run2
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;40,640
rset_95s;33,680
rset_90s;32,600
rset_50s;19,840
mean_speed_ms;1,3636
std_speed_ms;0,3911
max_speed_ms;3,7031
mean_exit_density_pm2;0,1710
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0502
specific_flow_mean_pms;0,2633
specific_flow_peak_pms;0,9492
throughput_ps;1,6732
throughput_Exit_Main_ps;1,6732
collisions_agent_agent;114
collisions_agent_wall;176
mean_headway_m;0,9202
min_headway_m;0,3244
std_headway_m;0,6008
