metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_cal_26
total_agents;93
rset_100s;48,920
rset_95s;42,730
rset_90s;38,880
rset_50s;21,270
mean_speed_ms;0,2424
std_speed_ms;0,2692
max_speed_ms;1,7331
mean_exit_density_pm2;5,1288
peak_exit_density_pm2;8,9127
mean_global_density_pm2;2,4814
specific_flow_mean_pms;2,0519
specific_flow_peak_pms;7,8050
throughput_ps;1,9011
throughput_ExitZone_ps;1,9011
collisions_agent_agent;38517
collisions_agent_wall;29750
mean_headway_m;0,3779
min_headway_m;0,3037
std_headway_m;0,0446
