metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run8
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;36,520
rset_95s;34,320
rset_90s;32,000
rset_50s;17,460
mean_speed_ms;0,3370
std_speed_ms;0,3006
max_speed_ms;1,8780
mean_exit_density_pm2;3,9168
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5427
specific_flow_mean_pms;2,0045
specific_flow_peak_pms;4,4874
throughput_ps;2,5466
throughput_ExitZone_ps;2,5466
collisions_agent_agent;12953
collisions_agent_wall;1011
mean_headway_m;0,3964
min_headway_m;0,3041
std_headway_m;0,0731
