metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run17
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;44,520
rset_95s;36,260
rset_90s;33,840
rset_50s;19,080
mean_speed_ms;1,4005
std_speed_ms;0,4010
max_speed_ms;3,6864
mean_exit_density_pm2;0,1546
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0445
specific_flow_mean_pms;0,2405
specific_flow_peak_pms;1,0427
throughput_ps;1,5274
throughput_Exit_Main_ps;1,5274
collisions_agent_agent;110
collisions_agent_wall;143
mean_headway_m;0,9913
min_headway_m;0,3531
std_headway_m;0,5857
