metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run7
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;48,180
rset_95s;38,760
rset_90s;31,440
rset_50s;14,780
mean_speed_ms;0,4054
std_speed_ms;0,3150
max_speed_ms;1,8700
mean_exit_density_pm2;4,0211
peak_exit_density_pm2;8,9127
mean_global_density_pm2;0,5115
specific_flow_mean_pms;2,0511
specific_flow_peak_pms;6,6139
throughput_ps;1,9303
throughput_ExitZone_ps;1,9303
collisions_agent_agent;2124
collisions_agent_wall;4772
mean_headway_m;0,4259
min_headway_m;0,3047
std_headway_m;0,0840
