metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run3
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;182,9
rset_95s;164,12
rset_90s;152,46
rset_50s;87,66
mean_speed_ms;1,1501
std_speed_ms;0,4222
max_speed_ms;2,391
mean_exit_density_pm2;0,1365
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0585
specific_flow_mean_pms;0,1441
specific_flow_peak_pms;0,5131
throughput_ps;3,3188
throughput_Exit_West_ps;1,5309
throughput_Exit_South_ps;1,7879
collisions_agent_agent;2064
collisions_agent_wall;129
mean_headway_m;0,6094
min_headway_m;0,3165
std_headway_m;0,2061
