metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_cal_18
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;182,3
rset_95s;165,8
rset_90s;153,88
rset_50s;89,28
mean_speed_ms;1,1644
std_speed_ms;0,3059
max_speed_ms;2,1949
mean_exit_density_pm2;0,1747
peak_exit_density_pm2;0,4775
mean_global_density_pm2;0,0788
specific_flow_mean_pms;0,2184
specific_flow_peak_pms;0,6405
throughput_ps;3,3297
throughput_Exit_West_ps;1,5304
throughput_Exit_South_ps;1,7992
collisions_agent_agent;97
collisions_agent_wall;35
mean_headway_m;0,5473
min_headway_m;0,3359
std_headway_m;0,1404
