metric;value
model_type;RL
scenario_id;NarrowDoor
run_id;LC_001_RL_run7
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;41,380
rset_95s;39,140
rset_90s;36,560
rset_50s;21,060
mean_speed_ms;0,3006
std_speed_ms;0,3004
max_speed_ms;1,8681
mean_exit_density_pm2;4,0400
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5490
specific_flow_mean_pms;1,8616
specific_flow_peak_pms;4,2945
throughput_ps;2,2475
throughput_ExitZone_ps;2,2475
collisions_agent_agent;17793
collisions_agent_wall;1457
mean_headway_m;0,3995
min_headway_m;0,3314
std_headway_m;0,0586
