metric;value
model_type;SFM
scenario_id;NarrowDoor
run_id;LC_001_SFM_run_2
total_agents;93
evacuated_agents;93
evacuation_rate;1,0000
rset_100s;47,440
rset_95s;37,460
rset_90s;32,200
rset_50s;14,840
mean_speed_ms;0,4152
std_speed_ms;0,3240
max_speed_ms;1,9326
mean_exit_density_pm2;3,8858
peak_exit_density_pm2;7,6394
mean_global_density_pm2;0,5047
specific_flow_mean_pms;2,0925
specific_flow_peak_pms;6,9807
throughput_ps;1,9604
throughput_ExitZone_ps;1,9604
collisions_agent_agent;2485
collisions_agent_wall;5000
mean_headway_m;0,4265
min_headway_m;0,3044
std_headway_m;0,0865
